"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129.563923846259","147.575151139823","137.838569196907","123.536266806027","112.937828193194","91.2899489378959","140.147270524256","107.412003893171","85.5676481408656","","","153.140623529955","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.19992903149412","6.0031137152975","6.84994062810567","6.58923592214199","5.51239996939339","","","","","","","11.9677661281027","13.2617447709501","28.8086564424566","14.418091073371","11.4876452770918","13.9711595800276","9.87049757711835","","16.420760081283","11.9540144505389","11.5928131387433","","","","10.275392721278","12.9403416575658","","","",
"Angola","AGO","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2996254920046","34.4857175276907","34.2429774506882","45.0847352083261","47.3636679585469","48.4022183348877","48.2433020696243","48.6692023726356","46.3292065281777","135.636900604789","152.197744728551","153.838758904237","137.975100601859","",
"United Arab Emirates","ARE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.9325845283505","34.02944156019","54.5239203764302","43.8026499700586","25.9750958615091","26.3456194500403","45.0565844899096","48.6830034534108","52.8995642710737","57.7412832435312","59.4350582645331","54.1804935404021","59.0490069889275","84.3647226140599","133.692158575076","173.763029328312","",
"Argentina","ARG","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","1.46615945213704","2.01618307326283","6.23785519620051","5.13877487432074","1.77463909074415","1.15399003873071","1.33323899671592","1.00132530320242","2.30948316016965","1.50268664120952","1.30329791552911","2.01161263434688","4.17314539897488","2.55764607722343","9.82484795783127","8.14021686050481","18.6090186924623","14.3206960845246","14.6430739627972","16.421969889739","20.2322107225661","15.1640961270053","19.6977246995835","16.1290412248255","12.4244152562322","16.9569392155608","27.4280508755432","24.6534557360052","23.946359886693","22.0333391526542","19.8483841980828","11.0218432201051","13.7381863641294","15.0863203529933","8.22014945932331","6.27396625321678","9.61999483859266","11.4269032684242","9.43836863309546","11.4076106061133","16.8948497510525","8.76225361679707","8.79801852253825","8.36065160246713","8.58081622666602","8.36736107358926","",
"Armenia","ARM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.383771292314693","0.403545249598453","0.213183377396629","0.212696839421871","1.29484672225421","",
"American Samoa","ASM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","28.8695301600802","39.7822572132171","30.7411345136519","21.4004455117707","30.482814841205","25.8051842918767","32.8825487598927","65.376606733493","81.4536198403442","58.2838642584986","46.8038768283371","34.6585511307329","44.4274739087284","41.5184831916462","65.5048216717054","67.8007085350512","66.6053667558072","77.8581416713134","67.8917907317938","82.2991069961306","109.799289407807","89.577890572046","98.815025169222","96.0328083721773","125.182973862793","126.314187544107","115.57036467233","146.423335650303","151.848387632584","64.7536703852008","135.870026259701","126.605341606122","85.6698351657442","89.6184187511424","86.6107364292327","87.7708061664944","87.8477493445524","105.108937364321","113.796208083907","88.4432185061928","106.812166424017","129.519570283705","121.240921281706","99.3088529440474","",
"Austria","AUT","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","3.25798256514262","3.50544553946975","2.90188536199451","28.2311331130921","2.82463696947263","2.39303873764021","2.23815657435201","2.12642630457832","2.12720114623881","2.19390241496117","6.65783153537675","6.74758013317431","6.41861718271525","7.55197797128411","18.2996952650129","15.8733080980834","13.997699227654","10.1638053572468","13.8361981188183","14.215276224508","12.7522213731728","13.5258533021101","17.3905266962709","1.19786379016815","15.258605467431","15.2589335726408","12.8281292302235","15.7764367366494","21.6743944726516","29.3359678138249","40.2135811811776","57.7319131527299","61.1356607274506","17.7732027443837","28.5697202695265","32.3301630837915","19.8784423232203","26.0692447167614","27.5848073777544","22.0702317031415","25.3142847952661","30.7291374574845","36.3067004353975","25.8079030703192","30.0458543542059","30.406072576452","33.9021966839205","26.0820003958763","",
